,Value,Type,Class,Description
70,QotbuddinHilal,Text,Person,name of person
71,Middlesbrough,Text,Organization,organizations such as private company and goverment
72,Wisconsin,Text,Location,a place
73,Gore,Text,Person,name of person
74,Dole,Text,Person,name of person
75,TENDULKAR,Text,Person,name of person
76,JAYASURIYA,Text,Person,name of person
77,Johannesburg,Text,Location,a place
78,Wasim,Text,Person,name of person
79,Croft,Text,Person,name of person
80,Chamorro,Text,Person,name of person
81,Nicaragua,Text,Location,a place
82,Mitsubishi,Text,Organization,organizations such as private company and goverment
83,Makinen,Text,Person,name of person
84,JuhaKankkunen,Text,Person,name of person
85,JiulPetrosani,Text,Organization,organizations such as private company and goverment
86,DinamoBucharest,Text,Organization,organizations such as private company and goverment
87,FrancisMoreau,Text,Person,name of person
88,France,Text,Location,a place
89,HeikoSzonn,Text,Person,name of person
90,Germany,Text,Location,a place
91,CINCINNATI,Text,Organization,organizations such as private company and goverment
92,AOL,Text,Organization,organizations such as private company and goverment
93,COLOMBO,Text,Location,a place
94,LECIVAPRAHA,Text,Organization,organizations such as private company and goverment
95,ADV,Text,Organization,organizations such as private company and goverment
96,Haitai,Text,Organization,organizations such as private company and goverment
97,Brussels,Text,Location,a place
98,RoyalMeteorologicalInstitute,Text,Organization,organizations such as private company and goverment
99,RMT,Text,Organization,organizations such as private company and goverment
100,KATHMANDU,Text,Location,a place
101,CostaRica,Text,Location,a place
102,RonaldoGonzalez,Text,Person,name of person
103,BME,Text,Organization,organizations such as private company and goverment
104,SumitomoCorp,Text,Organization,organizations such as private company and goverment
105,CNIEC,Text,Organization,organizations such as private company and goverment
106,O'Neal,Text,Person,name of person
107,EmanuilCeausu,Text,Person,name of person
108,Bucharest,Text,Location,a place
109,VictorBabes,Text,Location,a place
110,TommiMakinen,Text,Person,name of person
111,Finland,Text,Location,a place
112,Williams,Text,Person,name of person
113,CareerHorizons,Text,Organization,organizations such as private company and goverment
114,Washington,Text,Location,a place
115,WillemIITilburg,Text,Organization,organizations such as private company and goverment
116,UEFA,Text,Organization,organizations such as private company and goverment
117,Eksportfinans,Text,Organization,organizations such as private company and goverment
118,SuedwestLB,Text,Organization,organizations such as private company and goverment
119,China,Text,Location,a place
120,WARSAW,Text,Location,a place
121,BellStStation,Text,Location,a place
122,AlainJuppe,Text,Person,name of person
123,Rubin,Text,Person,name of person
124,ChristopherReeve,Text,Person,name of person
125,Reeve,Text,Person,name of person
126,Superman,Text,Person,name of person
127,Medvedev,Text,Person,name of person
128,Slovenia,Text,Location,a place
129,Poland,Text,Location,a place
130,EU,Text,Organization,organizations such as private company and goverment
131,NATO,Text,Organization,organizations such as private company and goverment
132,Slovakia,Text,Location,a place
133,Estonia,Text,Location,a place
134,LennartMeri,Text,Person,name of person
135,SanFrancisco,Text,Location,a place
136,MikeWilliams,Text,Person,name of person
137,BenitoSantiago,Text,Person,name of person
138,RubenAmaro,Text,Person,name of person
139,PhiladelphiaPhillies,Text,Organization,organizations such as private company and goverment
140,SanFranciscoGiants,Text,Organization,organizations such as private company and goverment
141,RobertW.Baird&Co.,Text,Organization,organizations such as private company and goverment
142,Toronto,Text,Organization,organizations such as private company and goverment
143,CHICAGO,Text,Organization,organizations such as private company and goverment
144,PEC,Text,Organization,organizations such as private company and goverment
145,JohanLisabeth,Text,Person,name of person
146,Belgium,Text,Location,a place
147,AdelIbrahim,Text,Person,name of person
148,Reuters,Text,Organization,organizations such as private company and goverment
149,LokomotivNizhnyNovgorod,Text,Organization,organizations such as private company and goverment
150,Mia,Text,Person,name of person
151,London,Text,Location,a place
152,MartinGates,Text,Person,name of person
153,BradleyHughes,Text,Person,name of person
154,Australia,Text,Location,a place
155,NACBreda,Text,Organization,organizations such as private company and goverment
156,SpartaRotterdam,Text,Organization,organizations such as private company and goverment
157,ZDF,Text,Organization,organizations such as private company and goverment
158,Germany,Text,Location,a place
159,Britain,Text,Location,a place
160,Darlington,Text,Organization,organizations such as private company and goverment
161,Colchester,Text,Organization,organizations such as private company and goverment
162,SovietUnion,Text,Location,a place
163,Shabwa,Text,Location,a place
164,Namibia,Text,Location,a place
165,PSV,Text,Organization,organizations such as private company and goverment
166,VitesseArnhem,Text,Organization,organizations such as private company and goverment
167,Germany,Text,Location,a place
168,Denmark,Text,Location,a place
169,Ayr,Text,Organization,organizations such as private company and goverment
170,Berwick,Text,Organization,organizations such as private company and goverment
171,Clyde,Text,Organization,organizations such as private company and goverment
172,Queenofthe,Text,Organization,organizations such as private company and goverment
173,HongKong,Text,Location,a place
174,China,Text,Location,a place
175,Lens,Text,Organization,organizations such as private company and goverment
176,Inzamam-ul-Haq,Text,Person,name of person
177,Hussain,Text,Person,name of person
178,Mullally,Text,Person,name of person
179,1860Munich,Text,Organization,organizations such as private company and goverment
180,Schwabl,Text,Person,name of person
181,BorussiaDortmund,Text,Organization,organizations such as private company and goverment
182,Zorc,Text,Person,name of person
183,SPTTELECOM,Text,Organization,organizations such as private company and goverment
184,OFFICIALJOURNAL,Text,Organization,organizations such as private company and goverment
185,OJ,Text,Organization,organizations such as private company and goverment
186,NicklasKulti,Text,Person,name of person
187,Sweden,Text,Location,a place
188,JakobHlasek,Text,Person,name of person
189,Switzerland,Text,Location,a place
190,ConferenceBoard,Text,Organization,organizations such as private company and goverment
191,KenGoldstein,Text,Person,name of person
192,Vitoria,Text,Organization,organizations such as private company and goverment
193,SjengSchalken,Text,Person,name of person
194,Netherlands,Text,Location,a place
195,GilbertSchaller,Text,Person,name of person
196,Austria,Text,Location,a place
197,Astros,Text,Organization,organizations such as private company and goverment
198,Sweden,Text,Location,a place
199,Netanyahu,Text,Person,name of person
200,Arafat,Text,Person,name of person
201,Weizman,Text,Person,name of person
202,Johannesburg,Text,Location,a place
203,LAGOS,Text,Location,a place
204,Karak,Text,Location,a place
205,Omari,Text,Location,a place
206,Ajax,Text,Organization,organizations such as private company and goverment
207,PSVEindhoven,Text,Organization,organizations such as private company and goverment
208,Groningen,Text,Organization,organizations such as private company and goverment
209,StateDepartment,Text,Organization,organizations such as private company and goverment
210,Washington,Text,Location,a place
211,PARIS,Text,Location,a place
212,ZenitStPetersburg,Text,Organization,organizations such as private company and goverment
213,Beirut,Text,Location,a place
214,Leeds,Text,Organization,organizations such as private company and goverment
215,Wimbledon,Text,Organization,organizations such as private company and goverment
216,Weaver,Text,Person,name of person
217,StLeger,Text,Organization,organizations such as private company and goverment
218,DoubleTrigger,Text,Person,name of person
219,LarbiElKhattabi,Text,Person,name of person
220,Morocco,Text,Location,a place
221,TimHenman,Text,Person,name of person
222,Britain,Text,Location,a place
223,ChrisWoodruff,Text,Person,name of person
224,U.S.,Text,Location,a place
225,Diana,Text,Person,name of person
226,Surrey,Text,Organization,organizations such as private company and goverment
227,AlecStewart,Text,Person,name of person
228,JoseBarroso,Text,Person,name of person
229,LuisFigo,Text,Person,name of person
230,RuiBarros,Text,Person,name of person
231,RuiCosta,Text,Person,name of person
232,OceanoCruz,Text,Person,name of person
233,RicardoSaPinto,Text,Person,name of person
234,Germany,Text,Location,a place
235,France,Text,Location,a place
236,MartinBrundle,Text,Person,name of person
237,Britain,Text,Location,a place
238,Jordan,Text,Organization,organizations such as private company and goverment
239,InesGorrochategui,Text,Person,name of person
240,Argentina,Text,Location,a place
241,AleksandraOlsza,Text,Person,name of person
242,Poland,Text,Location,a place
243,Hyundai,Text,Organization,organizations such as private company and goverment
244,GOLF,Text,Location,a place
245,Clinton,Text,Person,name of person
246,Lyon,Text,Organization,organizations such as private company and goverment
247,RedSox,Text,Organization,organizations such as private company and goverment
248,ThomasJohansson,Text,Person,name of person
249,Sweden,Text,Location,a place
250,RenzoFurlan,Text,Person,name of person
251,Italy,Text,Location,a place
252,Hill,Text,Person,name of person
253,Candiotti,Text,Person,name of person
254,LosAngeles,Text,Location,a place
255,ENGLAND,Text,Location,a place
256,PAKISTAN,Text,Location,a place
257,Maskhadov,Text,Person,name of person
258,Lebed,Text,Person,name of person
259,EamonnDarcy,Text,Person,name of person
260,Ireland,Text,Location,a place
261,BobMay,Text,Person,name of person
262,U.S.,Text,Location,a place
263,AL,Text,Location,a place
264,Reading,Text,Organization,organizations such as private company and goverment
265,AhmedHashemZighayer,Text,Person,name of person
266,Reuters,Text,Organization,organizations such as private company and goverment
267,InteriorMinistry,Text,Organization,organizations such as private company and goverment
268,ShabirAhmadMuhammadJalil,Text,Person,name of person
269,Mecca,Text,Location,a place
270,Pakistan,Text,Location,a place
271,Calcutta,Text,Location,a place
272,NEWYORK,Text,Location,a place
273,FederationSyndicaleUnitaire,Text,Organization,organizations such as private company and goverment
274,FSU,Text,Organization,organizations such as private company and goverment
275,Sharpe,Text,Person,name of person
276,SaoPaulo,Text,Location,a place
277,Eletropaulo,Text,Organization,organizations such as private company and goverment
278,EduardoBernini,Text,Person,name of person
279,EmmanuelSobral,Text,Person,name of person
280,TransportationMinistry,Text,Organization,organizations such as private company and goverment
281,Antwerp,Text,Location,a place
282,Jayasuriya,Text,Person,name of person
283,Grabowksi,Text,Person,name of person
284,NewEngland,Text,Location,a place
285,Mountain,Text,Location,a place
286,WestSouthCentral,Text,Location,a place
287,TimHerron,Text,Person,name of person
288,DuffyWaldorf,Text,Person,name of person
289,DavisLove,Text,Person,name of person
290,AndersForsbrand,Text,Person,name of person
291,Plymouth,Text,Organization,organizations such as private company and goverment
292,MarkPhilippoussis,Text,Person,name of person
293,Australia,Text,Location,a place
294,MarcRosset,Text,Person,name of person
295,Florida,Text,Location,a place
296,SPIFCESKY,Text,Organization,organizations such as private company and goverment
297,MohammadAkram,Text,Person,name of person
298,MushtaqAhmed,Text,Person,name of person
299,AamirSohail,Text,Person,name of person
300,SlawomirWojciechowski,Text,Person,name of person
301,GKSKatowice,Text,Organization,organizations such as private company and goverment
302,Cleveland,Text,Organization,organizations such as private company and goverment
303,DETROIT,Text,Organization,organizations such as private company and goverment
304,Masood,Text,Person,name of person
305,California,Text,Location,a place
306,Kabul,Text,Location,a place
307,BurhanuddinRabbani,Text,Person,name of person
308,FLORIDA,Text,Organization,organizations such as private company and goverment
309,NeleZilinskiene,Text,Person,name of person
310,Lithuania,Text,Location,a place
311,LeducReef,Text,Location,a place
312,ATP,Text,Organization,organizations such as private company and goverment
313,Battersby,Text,Person,name of person
314,U.S.,Text,Location,a place
315,MarkSpitz,Text,Person,name of person
316,Seguy,Text,Person,name of person
317,India,Text,Location,a place
318,RBI,Text,Organization,organizations such as private company and goverment
319,BorisYeltsin,Text,Person,name of person
320,Volkova,Text,Person,name of person
321,Malaysia,Text,Location,a place
322,UN,Text,Organization,organizations such as private company and goverment
323,China,Text,Location,a place
324,Gabon,Text,Location,a place
325,France,Text,Location,a place
326,TonyVairelles,Text,Person,name of person
327,FabienLefevre,Text,Person,name of person
328,Montpellier,Text,Organization,organizations such as private company and goverment
329,U.S.,Text,Location,a place
330,SheffieldUnited,Text,Organization,organizations such as private company and goverment
331,Vatican,Text,Location,a place
332,AS-SAFIR,Text,Organization,organizations such as private company and goverment
333,CAIRO,Text,Location,a place
334,ManfredKanther,Text,Person,name of person
335,FRATERNITEMATIN,Text,Organization,organizations such as private company and goverment
336,Sweden,Text,Location,a place
337,LudmilaEngquist,Text,Person,name of person
338,Zurich,Text,Location,a place
339,China,Text,Location,a place
340,JOHNSON,Text,Person,name of person
341,CHRISTIE,Text,Person,name of person
342,BAILEY,Text,Person,name of person
343,OWENS,Text,Person,name of person
344,JonathanStark,Text,Person,name of person
345,U.S.,Text,Location,a place
346,BerndKarbacher,Text,Person,name of person
347,Germany,Text,Location,a place
348,AloysNizigama,Text,Person,name of person
349,Burundi,Text,Location,a place
350,R.Croft,Text,Person,name of person
351,D.Gough,Text,Person,name of person
352,D.Headley,Text,Person,name of person
353,A.Mullally,Text,Person,name of person
354,JoseMariaCanizares,Text,Person,name of person
355,Spain,Text,Location,a place
356,PaulLawrie,Text,Person,name of person
357,Goschen,Text,Person,name of person
358,AtleticoParanaense,Text,Organization,organizations such as private company and goverment
359,HOUSTON,Text,Organization,organizations such as private company and goverment
360,AnthonyGobert,Text,Person,name of person
361,Australia,Text,Location,a place
362,Kawasaki,Text,Organization,organizations such as private company and goverment
363,MerrillLynch,Text,Organization,organizations such as private company and goverment
364,SBCWarburg,Text,Organization,organizations such as private company and goverment
365,SaoPaulo,Text,Location,a place
366,MarioCovas,Text,Person,name of person
367,SaoPaulo,Text,Location,a place
368,Banespa,Text,Organization,organizations such as private company and goverment
369,OGlobo,Text,Organization,organizations such as private company and goverment
370,Dole,Text,Person,name of person
371,EugenedeKock,Text,Person,name of person
372,TimBelcher,Text,Person,name of person
373,KATHMANDU,Text,Location,a place
374,Vasilopoulos,Text,Person,name of person
375,ToddMartin,Text,Person,name of person
376,U.S.,Text,Location,a place
377,CedricPioline,Text,Person,name of person
378,France,Text,Location,a place
379,BankIndonesia,Text,Organization,organizations such as private company and goverment
380,LosAngeles,Text,Location,a place
381,Dole,Text,Person,name of person
382,JackKemp,Text,Person,name of person
383,LosAngeles,Text,Location,a place
384,JensLehman,Text,Person,name of person
385,Germany,Text,Location,a place
386,Brooks,Text,Person,name of person
387,NickFaldo,Text,Person,name of person
388,Britain,Text,Location,a place
389,INA,Text,Organization,organizations such as private company and goverment
390,Sweden,Text,Location,a place
391,StephenAmes,Text,Person,name of person
392,TrinidadandTobago,Text,Location,a place
393,KlasEriksson,Text,Person,name of person
394,Chang,Text,Person,name of person
395,Oncins,Text,Person,name of person
396,Barcelona,Text,Location,a place
397,Camerlengo,Text,Person,name of person
398,TwenteEnschede,Text,Organization,organizations such as private company and goverment
399,MOSCOW,Text,Location,a place
400,U.S.MunicipalDesk,Text,Organization,organizations such as private company and goverment
401,BaltimoreOrioles,Text,Organization,organizations such as private company and goverment
402,DaveyJohnson,Text,Person,name of person
403,SeattleMariners,Text,Organization,organizations such as private company and goverment
404,Reuters,Text,Organization,organizations such as private company and goverment
405,U.S.,Text,Location,a place
406,BrianMcRae,Text,Person,name of person
407,TylerHouston,Text,Person,name of person
408,ChicagoCubs,Text,Organization,organizations such as private company and goverment
409,AtlantaBraves,Text,Organization,organizations such as private company and goverment
410,KIMBERLEY,Text,Location,a place
411,SouthAfrica,Text,Location,a place
412,Promodes,Text,Organization,organizations such as private company and goverment
413,SparAG,Text,Organization,organizations such as private company and goverment
414,LesEchos,Text,Organization,organizations such as private company and goverment
415,Netherlands,Text,Location,a place
416,BALTIMORE,Text,Organization,organizations such as private company and goverment
417,California,Text,Organization,organizations such as private company and goverment
418,Durham,Text,Organization,organizations such as private company and goverment
419,D.Cox,Text,Person,name of person
420,S.Campbell,Text,Person,name of person
421,G.Rose,Text,Person,name of person
422,PITTSBURGH,Text,Organization,organizations such as private company and goverment
423,SEATTLE,Text,Organization,organizations such as private company and goverment
424,SEATTLE,Text,Organization,organizations such as private company and goverment
425,BALTIMORE,Text,Location,a place
426,Leicester,Text,Location,a place
427,Somerset,Text,Organization,organizations such as private company and goverment
428,D.Millns,Text,Person,name of person
429,Leicestershire,Text,Organization,organizations such as private company and goverment
430,Chelsea,Text,Person,name of person
431,BillClinton,Text,Person,name of person
432,WestVirginia,Text,Location,a place
433,Kentucky,Text,Location,a place
434,Ohio,Text,Location,a place
435,Grozny,Text,Location,a place
436,JYVASKYLA,Text,Location,a place
437,Finland,Text,Location,a place
438,BATKIVSHCHYNACOLLECTIVEFARM,Text,Location,a place
439,Ukraine,Text,Location,a place
440,Dutroux,Text,Person,name of person
441,Weinstein,Text,Person,name of person
442,Bourlet,Text,Person,name of person
443,Ipswich,Text,Organization,organizations such as private company and goverment
444,PortVale,Text,Organization,organizations such as private company and goverment
445,Oxford,Text,Organization,organizations such as private company and goverment
446,Reading,Text,Organization,organizations such as private company and goverment
447,Stoke,Text,Organization,organizations such as private company and goverment
448,Southend,Text,Organization,organizations such as private company and goverment
449,Lewis,Text,Person,name of person
450,Mullally,Text,Person,name of person
451,Croft,Text,Person,name of person
452,Christie,Text,Person,name of person
453,Canada,Text,Location,a place
454,Bailey,Text,Person,name of person
455,Johnson,Text,Person,name of person
456,Fredericks,Text,Person,name of person
457,Hiddink,Text,Person,name of person
458,DannyBlind,Text,Person,name of person
459,TonyTaylor,Text,Person,name of person
460,Hariri,Text,Person,name of person
461,RostselmashRostov,Text,Organization,organizations such as private company and goverment
462,ArkadiuszBak,Text,Person,name of person
463,ArwelJones,Text,Person,name of person
464,TristanHoffman,Text,Person,name of person
465,Neths,Text,Location,a place
466,TVM,Text,Organization,organizations such as private company and goverment
467,BarbaraRittner,Text,Person,name of person
468,Germany,Text,Location,a place
469,KatarinaStudenikova,Text,Person,name of person
470,Slovakia,Text,Location,a place
471,JohanCapiot,Text,Person,name of person
472,Belgium,Text,Location,a place
473,Collstrop,Text,Organization,organizations such as private company and goverment
474,IFKGothenburg,Text,Organization,organizations such as private company and goverment
475,Sweden,Text,Location,a place
476,Ferencvaros,Text,Organization,organizations such as private company and goverment
477,Hungary,Text,Location,a place
478,BestProductsCo,Text,Organization,organizations such as private company and goverment
479,DanielLevy,Text,Person,name of person
480,F.W.deKlerk,Text,Person,name of person
481,AfricanNationalCongress,Text,Organization,organizations such as private company and goverment
482,ThaboMbeki,Text,Person,name of person
483,JERUSALEM,Text,Location,a place
484,AjaxAmsterdam,Text,Organization,organizations such as private company and goverment
485,FrankdeBoer,Text,Person,name of person
486,AZAlkmaar,Text,Organization,organizations such as private company and goverment
487,PaulineKonga,Text,Person,name of person
488,Kenya,Text,Location,a place
489,Oklahoma,Text,Location,a place
490,AgriculturalStatisticsService,Text,Organization,organizations such as private company and goverment
491,NEWDELHI,Text,Location,a place
492,Coetzer,Text,Person,name of person
493,Rome,Text,Location,a place
494,Colombia,Text,Location,a place
495,Antioquia,Text,Location,a place
496,Russia,Text,Location,a place
497,Norway,Text,Location,a place
498,Rishon-Lezion,Text,Location,a place
499,HapoelIroni,Text,Organization,organizations such as private company and goverment
500,Israel,Text,Location,a place
501,Constructorul,Text,Organization,organizations such as private company and goverment
502,JeffTarango,Text,Person,name of person
503,U.S.,Text,Location,a place
504,AlexRadulescu,Text,Person,name of person
505,Germany,Text,Location,a place
506,Maakinen,Text,Person,name of person
507,Mitsubishi,Text,Organization,organizations such as private company and goverment
508,Spain,Text,Location,a place
509,CarlosSainz,Text,Person,name of person
510,Ford,Text,Organization,organizations such as private company and goverment
511,RuchChorzow,Text,Organization,organizations such as private company and goverment
512,FortunaSittard,Text,Organization,organizations such as private company and goverment
513,Heerenveen,Text,Organization,organizations such as private company and goverment
514,YayukBasuki,Text,Person,name of person
515,Marriner,Text,Person,name of person
516,NATO,Text,Organization,organizations such as private company and goverment
517,Dhar,Text,Location,a place
518,Nepal,Text,Location,a place
519,Keane,Text,Organization,organizations such as private company and goverment
520,ING,Text,Organization,organizations such as private company and goverment
521,NEWYORK,Text,Organization,organizations such as private company and goverment
522,England,Text,Location,a place
523,Pakistan,Text,Location,a place
524,The,Text,Location,a place
525,Gillingham,Text,Organization,organizations such as private company and goverment
526,Yugoslavia,Text,Location,a place
527,AMMAN,Text,Location,a place
528,Valerenga,Text,Organization,organizations such as private company and goverment
529,interiorministry,Text,Organization,organizations such as private company and goverment
530,JimFuryk,Text,Person,name of person
531,SatoshiHigashi,Text,Person,name of person
532,Japan,Text,Location,a place
533,WillieWood,Text,Person,name of person
534,Shigeki,Text,Person,name of person
535,LONDON,Text,Location,a place
536,LONDON,Text,Location,a place
537,MarcusGronholm,Text,Person,name of person
538,Finland,Text,Location,a place
539,Goldman,Text,Person,name of person
540,Stadler,Text,Organization,organizations such as private company and goverment
541,Haladas,Text,Organization,organizations such as private company and goverment
542,SaeedAnwar,Text,Person,name of person
543,MiladinBecanovic,Text,Person,name of person
544,Lille,Text,Organization,organizations such as private company and goverment
545,EnzoScifo,Text,Person,name of person
546,Monaco,Text,Organization,organizations such as private company and goverment
547,CarlosMoya,Text,Person,name of person
548,Spain,Text,Location,a place
549,ScottHumphries,Text,Person,name of person
550,U.S.,Text,Location,a place
551,Peronists,Text,Organization,organizations such as private company and goverment
552,HectorCampora,Text,Person,name of person
553,VicenteSolanoLima,Text,Person,name of person
554,BRAVES,Text,Organization,organizations such as private company and goverment
555,CUBS,Text,Organization,organizations such as private company and goverment
556,BartVoskamp,Text,Person,name of person
557,Netherlands,Text,Location,a place
558,TVM,Text,Organization,organizations such as private company and goverment
559,Rosenborg,Text,Organization,organizations such as private company and goverment
560,Lillestrom,Text,Organization,organizations such as private company and goverment
561,Kingston,Text,Organization,organizations such as private company and goverment
562,Softbank,Text,Organization,organizations such as private company and goverment
563,CzechRepublic,Text,Location,a place
564,VaclavHavel,Text,Person,name of person
565,Brazil,Text,Location,a place
566,Philippoussis,Text,Person,name of person
567,Sampras,Text,Person,name of person
568,Rosset,Text,Person,name of person
569,RuiMadeira,Text,Person,name of person
570,Portugal,Text,Location,a place
571,NickyBoje,Text,Person,name of person
572,DerekCrookes,Text,Person,name of person
573,Pollock,Text,Person,name of person
574,Adams,Text,Person,name of person
575,Gibbs,Text,Person,name of person
576,WesternProvince,Text,Organization,organizations such as private company and goverment
577,Kallis,Text,Person,name of person
578,U.N.,Text,Organization,organizations such as private company and goverment
579,NEWYORK,Text,Location,a place
580,VW,Text,Organization,organizations such as private company and goverment
581,Zenith,Text,Organization,organizations such as private company and goverment
582,Samsung,Text,Organization,organizations such as private company and goverment
583,HongKong,Text,Location,a place
584,PSVEindhoven,Text,Organization,organizations such as private company and goverment
585,Allen,Text,Person,name of person
586,RapidWien,Text,Organization,organizations such as private company and goverment
587,Cleveland,Text,Organization,organizations such as private company and goverment
588,DETROIT,Text,Organization,organizations such as private company and goverment
589,CommodityCreditCorpofUSDA,Text,Organization,organizations such as private company and goverment
590,CargillInc,Text,Organization,organizations such as private company and goverment
591,Nicaragua,Text,Location,a place
592,Penrose,Text,Person,name of person
593,EleonoraBerlanda,Text,Person,name of person
594,Italy,Text,Location,a place
595,R.Croft,Text,Person,name of person
596,IjazAhmed,Text,Person,name of person
597,WasimAkram,Text,Person,name of person
598,Corsica,Text,Location,a place
599,Paris,Text,Location,a place
600,U.N.,Text,Organization,organizations such as private company and goverment
601,Cyprien,Text,Person,name of person
602,StGallen,Text,Organization,organizations such as private company and goverment
603,ClaudioMoura,Text,Person,name of person
604,Gazprom,Text,Organization,organizations such as private company and goverment
605,TEXAS,Text,Organization,organizations such as private company and goverment
606,KANSASCITY,Text,Location,a place
607,S.Africa,Text,Location,a place
608,Juventude,Text,Organization,organizations such as private company and goverment
609,Internacional,Text,Organization,organizations such as private company and goverment
610,MarkCairns,Text,Person,name of person
611,England,Text,Location,a place
612,DelHarris,Text,Person,name of person
613,England,Text,Location,a place
614,Adelaide,Text,Organization,organizations such as private company and goverment
615,NEWYORK,Text,Location,a place
616,NorthSydney,Text,Organization,organizations such as private company and goverment
617,SouthSydney,Text,Organization,organizations such as private company and goverment
618,Shanghai,Text,Location,a place
619,ChinaNationalNonferrousMetalsImportandExportCorp,Text,Organization,organizations such as private company and goverment
620,CNIEC,Text,Organization,organizations such as private company and goverment
621,Irani,Text,Person,name of person
622,Croft,Text,Person,name of person
623,INDIA,Text,Location,a place
624,SRILANKA,Text,Location,a place
625,JeffWilson,Text,Person,name of person
626,NewZealand,Text,Location,a place
627,RubenKruger,Text,Person,name of person
628,JoostvanderWesthuizen,Text,Person,name of person
629,PAKISTAN,Text,Location,a place
630,ENGLAND,Text,Location,a place
631,Benetton,Text,Organization,organizations such as private company and goverment
632,Colorado,Text,Location,a place
633,GaleNorton,Text,Person,name of person
634,Texas,Text,Organization,organizations such as private company and goverment
635,MINNESOTA,Text,Organization,organizations such as private company and goverment
636,RAFRiga,Text,Organization,organizations such as private company and goverment
637,AgrinsZarins,Text,Person,name of person
638,PHILADELPHIA,Text,Organization,organizations such as private company and goverment
639,SANDIEGO,Text,Location,a place
640,BOSTON,Text,Organization,organizations such as private company and goverment
641,Oakland,Text,Organization,organizations such as private company and goverment
642,EastStirling,Text,Organization,organizations such as private company and goverment
643,Albion,Text,Organization,organizations such as private company and goverment
644,RogerBlack,Text,Person,name of person
645,Britain,Text,Location,a place
646,Hereford,Text,Organization,organizations such as private company and goverment
647,J.Srinath,Text,Person,name of person
648,SANFRANCISCO,Text,Organization,organizations such as private company and goverment
649,Philadelphia,Text,Organization,organizations such as private company and goverment
650,HONGKONG,Text,Location,a place
651,SOSA,Text,Person,name of person
652,LTTE,Text,Organization,organizations such as private company and goverment
653,LiberationTigersofTamilEelam,Text,Organization,organizations such as private company and goverment
654,P.Arulanandam,Text,Person,name of person
655,Amsterdam,Text,Location,a place
656,Bradford,Text,Organization,organizations such as private company and goverment
657,France,Text,Location,a place
658,LeMonde,Text,Organization,organizations such as private company and goverment
659,Nepal,Text,Location,a place
