,Value,Type,Class,Description
98,RoyalMeteorologicalInstitute,Organization,Political Secret,organizations such as private company and goverment.
99,RMT,Organization,Political Secret,organizations such as private company and goverment.
100,KATHMANDU,Location,Personal details,place
101,CostaRica,Location,Personal details,place
102,RonaldoGonzalez,Person,Personal details,name of person
103,BME,Organization,Political Secret,organizations such as private company and goverment.
104,SumitomoCorp,Organization,Political Secret,organizations such as private company and goverment.
105,CNIEC,Organization,Political Secret,organizations such as private company and goverment.
106,O'Neal,Person,Personal details,name of person
107,EmanuilCeausu,Person,Personal details,name of person
108,Bucharest,Location,Personal details,place
109,VictorBabes,Location,Personal details,place
110,TommiMakinen,Person,Personal details,name of person
111,Finland,Location,Personal details,place
112,Williams,Person,Personal details,name of person
113,CareerHorizons,Organization,Political Secret,organizations such as private company and goverment.
114,Washington,Location,Personal details,place
115,WillemIITilburg,Organization,Political Secret,organizations such as private company and goverment.
116,UEFA,Organization,Political Secret,organizations such as private company and goverment.
117,Eksportfinans,Organization,Political Secret,organizations such as private company and goverment.
118,SuedwestLB,Organization,Political Secret,organizations such as private company and goverment.
119,China,Location,Personal details,place
120,WARSAW,Location,Personal details,place
121,BellStStation,Location,Personal details,place
122,AlainJuppe,Person,Personal details,name of person
123,Rubin,Person,Personal details,name of person
124,ChristopherReeve,Person,Personal details,name of person
125,Reeve,Person,Personal details,name of person
126,Superman,Person,Personal details,name of person
127,Medvedev,Person,Personal details,name of person
128,Slovenia,Location,Personal details,place
129,Poland,Location,Personal details,place
130,EU,Organization,Political Secret,organizations such as private company and goverment.
131,NATO,Organization,Political Secret,organizations such as private company and goverment.
132,Slovakia,Location,Personal details,place
133,Estonia,Location,Personal details,place
134,LennartMeri,Person,Personal details,name of person
135,SanFrancisco,Location,Personal details,place
136,MikeWilliams,Person,Personal details,name of person
137,BenitoSantiago,Person,Personal details,name of person
138,RubenAmaro,Person,Personal details,name of person
139,PhiladelphiaPhillies,Organization,Political Secret,organizations such as private company and goverment.
140,SanFranciscoGiants,Organization,Political Secret,organizations such as private company and goverment.
141,RobertW.Baird&Co.,Organization,Political Secret,organizations such as private company and goverment.
142,Toronto,Organization,Political Secret,organizations such as private company and goverment.
143,CHICAGO,Organization,Political Secret,organizations such as private company and goverment.
144,PEC,Organization,Political Secret,organizations such as private company and goverment.
145,JohanLisabeth,Person,Personal details,name of person
146,Belgium,Location,Personal details,place
147,AdelIbrahim,Person,Personal details,name of person
148,Reuters,Organization,Political Secret,organizations such as private company and goverment.
149,LokomotivNizhnyNovgorod,Organization,Political Secret,organizations such as private company and goverment.
150,Mia,Person,Personal details,name of person
151,London,Location,Personal details,place
152,MartinGates,Person,Personal details,name of person
153,BradleyHughes,Person,Personal details,name of person
154,Australia,Location,Personal details,place
155,NACBreda,Organization,Political Secret,organizations such as private company and goverment.
156,SpartaRotterdam,Organization,Political Secret,organizations such as private company and goverment.
157,ZDF,Organization,Political Secret,organizations such as private company and goverment.
158,Germany,Location,Personal details,place
159,Britain,Location,Personal details,place
160,Darlington,Organization,Political Secret,organizations such as private company and goverment.
161,Colchester,Organization,Political Secret,organizations such as private company and goverment.
162,SovietUnion,Location,Personal details,place
163,Shabwa,Location,Personal details,place
164,Namibia,Location,Personal details,place
165,PSV,Organization,Political Secret,organizations such as private company and goverment.
166,VitesseArnhem,Organization,Political Secret,organizations such as private company and goverment.
167,Germany,Location,Personal details,place
168,Denmark,Location,Personal details,place
169,Ayr,Organization,Political Secret,organizations such as private company and goverment.
170,Berwick,Organization,Political Secret,organizations such as private company and goverment.
171,Clyde,Organization,Political Secret,organizations such as private company and goverment.
172,Queenofthe,Organization,Political Secret,organizations such as private company and goverment.
173,HongKong,Location,Personal details,place
174,China,Location,Personal details,place
175,Lens,Organization,Political Secret,organizations such as private company and goverment.
176,Inzamam-ul-Haq,Person,Personal details,name of person
177,Hussain,Person,Personal details,name of person
178,Mullally,Person,Personal details,name of person
179,1860Munich,Organization,Political Secret,organizations such as private company and goverment.
180,Schwabl,Person,Personal details,name of person
181,BorussiaDortmund,Organization,Political Secret,organizations such as private company and goverment.
182,Zorc,Person,Personal details,name of person
183,SPTTELECOM,Organization,Political Secret,organizations such as private company and goverment.
184,OFFICIALJOURNAL,Organization,Political Secret,organizations such as private company and goverment.
185,OJ,Organization,Political Secret,organizations such as private company and goverment.
186,NicklasKulti,Person,Personal details,name of person
187,Sweden,Location,Personal details,place
188,JakobHlasek,Person,Personal details,name of person
189,Switzerland,Location,Personal details,place
190,ConferenceBoard,Organization,Political Secret,organizations such as private company and goverment.
191,KenGoldstein,Person,Personal details,name of person
192,Vitoria,Organization,Political Secret,organizations such as private company and goverment.
193,SjengSchalken,Person,Personal details,name of person
194,Netherlands,Location,Personal details,place
195,GilbertSchaller,Person,Personal details,name of person
196,Austria,Location,Personal details,place
197,Astros,Organization,Political Secret,organizations such as private company and goverment.
198,Sweden,Location,Personal details,place
199,Netanyahu,Person,Personal details,name of person
200,Arafat,Person,Personal details,name of person
201,Weizman,Person,Personal details,name of person
202,Johannesburg,Location,Personal details,place
203,LAGOS,Location,Personal details,place
204,Karak,Location,Personal details,place
205,Omari,Location,Personal details,place
206,Ajax,Organization,Political Secret,organizations such as private company and goverment.
207,PSVEindhoven,Organization,Political Secret,organizations such as private company and goverment.
208,Groningen,Organization,Political Secret,organizations such as private company and goverment.
209,StateDepartment,Organization,Political Secret,organizations such as private company and goverment.
210,Washington,Location,Personal details,place
211,PARIS,Location,Personal details,place
212,ZenitStPetersburg,Organization,Political Secret,organizations such as private company and goverment.
213,Beirut,Location,Personal details,place
214,Leeds,Organization,Political Secret,organizations such as private company and goverment.
215,Wimbledon,Organization,Political Secret,organizations such as private company and goverment.
216,Weaver,Person,Personal details,name of person
217,StLeger,Organization,Political Secret,organizations such as private company and goverment.
218,DoubleTrigger,Person,Personal details,name of person
219,LarbiElKhattabi,Person,Personal details,name of person
220,Morocco,Location,Personal details,place
221,TimHenman,Person,Personal details,name of person
222,Britain,Location,Personal details,place
223,ChrisWoodruff,Person,Personal details,name of person
224,U.S.,Location,Personal details,place
225,Diana,Person,Personal details,name of person
226,Surrey,Organization,Political Secret,organizations such as private company and goverment.
227,AlecStewart,Person,Personal details,name of person
228,JoseBarroso,Person,Personal details,name of person
229,LuisFigo,Person,Personal details,name of person
230,RuiBarros,Person,Personal details,name of person
231,RuiCosta,Person,Personal details,name of person
232,OceanoCruz,Person,Personal details,name of person
233,RicardoSaPinto,Person,Personal details,name of person
234,Germany,Location,Personal details,place
235,France,Location,Personal details,place
236,MartinBrundle,Person,Personal details,name of person
237,Britain,Location,Personal details,place
238,Jordan,Organization,Political Secret,organizations such as private company and goverment.
239,InesGorrochategui,Person,Personal details,name of person
240,Argentina,Location,Personal details,place
241,AleksandraOlsza,Person,Personal details,name of person
242,Poland,Location,Personal details,place
243,Hyundai,Organization,Political Secret,organizations such as private company and goverment.
244,GOLF,Location,Personal details,place
245,Clinton,Person,Personal details,name of person
246,Lyon,Organization,Political Secret,organizations such as private company and goverment.
247,RedSox,Organization,Political Secret,organizations such as private company and goverment.
248,ThomasJohansson,Person,Personal details,name of person
249,Sweden,Location,Personal details,place
250,RenzoFurlan,Person,Personal details,name of person
251,Italy,Location,Personal details,place
252,Hill,Person,Personal details,name of person
253,Candiotti,Person,Personal details,name of person
254,LosAngeles,Location,Personal details,place
255,ENGLAND,Location,Personal details,place
256,PAKISTAN,Location,Personal details,place
257,Maskhadov,Person,Personal details,name of person
258,Lebed,Person,Personal details,name of person
259,EamonnDarcy,Person,Personal details,name of person
260,Ireland,Location,Personal details,place
261,BobMay,Person,Personal details,name of person
262,U.S.,Location,Personal details,place
263,AL,Location,Personal details,place
264,Reading,Organization,Political Secret,organizations such as private company and goverment.
265,AhmedHashemZighayer,Person,Personal details,name of person
266,Reuters,Organization,Political Secret,organizations such as private company and goverment.
267,InteriorMinistry,Organization,Political Secret,organizations such as private company and goverment.
268,ShabirAhmadMuhammadJalil,Person,Personal details,name of person
269,Mecca,Location,Personal details,place
270,Pakistan,Location,Personal details,place
271,Calcutta,Location,Personal details,place
272,NEWYORK,Location,Personal details,place
273,FederationSyndicaleUnitaire,Organization,Political Secret,organizations such as private company and goverment.
274,FSU,Organization,Political Secret,organizations such as private company and goverment.
275,Sharpe,Person,Personal details,name of person
276,SaoPaulo,Location,Personal details,place
277,Eletropaulo,Organization,Political Secret,organizations such as private company and goverment.
278,EduardoBernini,Person,Personal details,name of person
279,EmmanuelSobral,Person,Personal details,name of person
280,TransportationMinistry,Organization,Political Secret,organizations such as private company and goverment.
281,Antwerp,Location,Personal details,place
282,Jayasuriya,Person,Personal details,name of person
283,Grabowksi,Person,Personal details,name of person
284,NewEngland,Location,Personal details,place
285,Mountain,Location,Personal details,place
286,WestSouthCentral,Location,Personal details,place
287,TimHerron,Person,Personal details,name of person
288,DuffyWaldorf,Person,Personal details,name of person
289,DavisLove,Person,Personal details,name of person
290,AndersForsbrand,Person,Personal details,name of person
291,Plymouth,Organization,Political Secret,organizations such as private company and goverment.
292,MarkPhilippoussis,Person,Personal details,name of person
293,Australia,Location,Personal details,place
294,MarcRosset,Person,Personal details,name of person
295,Florida,Location,Personal details,place
296,SPIFCESKY,Organization,Political Secret,organizations such as private company and goverment.
297,MohammadAkram,Person,Personal details,name of person
298,MushtaqAhmed,Person,Personal details,name of person
299,AamirSohail,Person,Personal details,name of person
300,SlawomirWojciechowski,Person,Personal details,name of person
301,GKSKatowice,Organization,Political Secret,organizations such as private company and goverment.
302,Cleveland,Organization,Political Secret,organizations such as private company and goverment.
303,DETROIT,Organization,Political Secret,organizations such as private company and goverment.
304,Masood,Person,Personal details,name of person
305,California,Location,Personal details,place
306,Kabul,Location,Personal details,place
307,BurhanuddinRabbani,Person,Personal details,name of person
308,FLORIDA,Organization,Political Secret,organizations such as private company and goverment.
309,NeleZilinskiene,Person,Personal details,name of person
310,Lithuania,Location,Personal details,place
311,LeducReef,Location,Personal details,place
312,ATP,Organization,Political Secret,organizations such as private company and goverment.
313,Battersby,Person,Personal details,name of person
314,U.S.,Location,Personal details,place
315,MarkSpitz,Person,Personal details,name of person
316,Seguy,Person,Personal details,name of person
317,India,Location,Personal details,place
318,RBI,Organization,Political Secret,organizations such as private company and goverment.
319,BorisYeltsin,Person,Personal details,name of person
320,Volkova,Person,Personal details,name of person
321,Malaysia,Location,Personal details,place
322,UN,Organization,Political Secret,organizations such as private company and goverment.
323,China,Location,Personal details,place
324,Gabon,Location,Personal details,place
325,France,Location,Personal details,place
326,TonyVairelles,Person,Personal details,name of person
327,FabienLefevre,Person,Personal details,name of person
328,Montpellier,Organization,Political Secret,organizations such as private company and goverment.
329,U.S.,Location,Personal details,place
330,SheffieldUnited,Organization,Political Secret,organizations such as private company and goverment.
331,Vatican,Location,Personal details,place
332,AS-SAFIR,Organization,Political Secret,organizations such as private company and goverment.
333,CAIRO,Location,Personal details,place
334,ManfredKanther,Person,Personal details,name of person
335,FRATERNITEMATIN,Organization,Political Secret,organizations such as private company and goverment.
336,Sweden,Location,Personal details,place
337,LudmilaEngquist,Person,Personal details,name of person
338,Zurich,Location,Personal details,place
339,China,Location,Personal details,place
340,JOHNSON,Person,Personal details,name of person
341,CHRISTIE,Person,Personal details,name of person
342,BAILEY,Person,Personal details,name of person
343,OWENS,Person,Personal details,name of person
344,JonathanStark,Person,Personal details,name of person
345,U.S.,Location,Personal details,place
346,BerndKarbacher,Person,Personal details,name of person
347,Germany,Location,Personal details,place
348,AloysNizigama,Person,Personal details,name of person
349,Burundi,Location,Personal details,place
350,R.Croft,Person,Personal details,name of person
351,D.Gough,Person,Personal details,name of person
352,D.Headley,Person,Personal details,name of person
353,A.Mullally,Person,Personal details,name of person
354,JoseMariaCanizares,Person,Personal details,name of person
355,Spain,Location,Personal details,place
356,PaulLawrie,Person,Personal details,name of person
357,Goschen,Person,Personal details,name of person
358,AtleticoParanaense,Organization,Political Secret,organizations such as private company and goverment.
359,HOUSTON,Organization,Political Secret,organizations such as private company and goverment.
360,AnthonyGobert,Person,Personal details,name of person
361,Australia,Location,Personal details,place
362,Kawasaki,Organization,Political Secret,organizations such as private company and goverment.
363,MerrillLynch,Organization,Political Secret,organizations such as private company and goverment.
364,SBCWarburg,Organization,Political Secret,organizations such as private company and goverment.
365,SaoPaulo,Location,Personal details,place
366,MarioCovas,Person,Personal details,name of person
367,SaoPaulo,Location,Personal details,place
368,Banespa,Organization,Political Secret,organizations such as private company and goverment.
369,OGlobo,Organization,Political Secret,organizations such as private company and goverment.
370,Dole,Person,Personal details,name of person
371,EugenedeKock,Person,Personal details,name of person
372,TimBelcher,Person,Personal details,name of person
373,KATHMANDU,Location,Personal details,place
374,Vasilopoulos,Person,Personal details,name of person
375,ToddMartin,Person,Personal details,name of person
376,U.S.,Location,Personal details,place
377,CedricPioline,Person,Personal details,name of person
378,France,Location,Personal details,place
379,BankIndonesia,Organization,Political Secret,organizations such as private company and goverment.
380,LosAngeles,Location,Personal details,place
381,Dole,Person,Personal details,name of person
382,JackKemp,Person,Personal details,name of person
383,LosAngeles,Location,Personal details,place
384,JensLehman,Person,Personal details,name of person
385,Germany,Location,Personal details,place
386,Brooks,Person,Personal details,name of person
387,NickFaldo,Person,Personal details,name of person
388,Britain,Location,Personal details,place
389,INA,Organization,Political Secret,organizations such as private company and goverment.
390,Sweden,Location,Personal details,place
391,StephenAmes,Person,Personal details,name of person
392,TrinidadandTobago,Location,Personal details,place
393,KlasEriksson,Person,Personal details,name of person
394,Chang,Person,Personal details,name of person
395,Oncins,Person,Personal details,name of person
396,Barcelona,Location,Personal details,place
397,Camerlengo,Person,Personal details,name of person
398,TwenteEnschede,Organization,Political Secret,organizations such as private company and goverment.
399,MOSCOW,Location,Personal details,place
400,U.S.MunicipalDesk,Organization,Political Secret,organizations such as private company and goverment.
401,BaltimoreOrioles,Organization,Political Secret,organizations such as private company and goverment.
402,DaveyJohnson,Person,Personal details,name of person
403,SeattleMariners,Organization,Political Secret,organizations such as private company and goverment.
404,Reuters,Organization,Political Secret,organizations such as private company and goverment.
405,U.S.,Location,Personal details,place
406,BrianMcRae,Person,Personal details,name of person
407,TylerHouston,Person,Personal details,name of person
408,ChicagoCubs,Organization,Political Secret,organizations such as private company and goverment.
409,AtlantaBraves,Organization,Political Secret,organizations such as private company and goverment.
410,KIMBERLEY,Location,Personal details,place
411,SouthAfrica,Location,Personal details,place
412,Promodes,Organization,Political Secret,organizations such as private company and goverment.
413,SparAG,Organization,Political Secret,organizations such as private company and goverment.
414,LesEchos,Organization,Political Secret,organizations such as private company and goverment.
415,Netherlands,Location,Personal details,place
416,BALTIMORE,Organization,Political Secret,organizations such as private company and goverment.
417,California,Organization,Political Secret,organizations such as private company and goverment.
418,Durham,Organization,Political Secret,organizations such as private company and goverment.
419,D.Cox,Person,Personal details,name of person
420,S.Campbell,Person,Personal details,name of person
421,G.Rose,Person,Personal details,name of person
422,PITTSBURGH,Organization,Political Secret,organizations such as private company and goverment.
423,SEATTLE,Organization,Political Secret,organizations such as private company and goverment.
424,SEATTLE,Organization,Political Secret,organizations such as private company and goverment.
425,BALTIMORE,Location,Personal details,place
426,Leicester,Location,Personal details,place
427,Somerset,Organization,Political Secret,organizations such as private company and goverment.
428,D.Millns,Person,Personal details,name of person
429,Leicestershire,Organization,Political Secret,organizations such as private company and goverment.
430,Chelsea,Person,Personal details,name of person
431,BillClinton,Person,Personal details,name of person
432,WestVirginia,Location,Personal details,place
433,Kentucky,Location,Personal details,place
434,Ohio,Location,Personal details,place
435,Grozny,Location,Personal details,place
436,JYVASKYLA,Location,Personal details,place
437,Finland,Location,Personal details,place
438,BATKIVSHCHYNACOLLECTIVEFARM,Location,Personal details,place
439,Ukraine,Location,Personal details,place
440,Dutroux,Person,Personal details,name of person
441,Weinstein,Person,Personal details,name of person
442,Bourlet,Person,Personal details,name of person
443,Ipswich,Organization,Political Secret,organizations such as private company and goverment.
444,PortVale,Organization,Political Secret,organizations such as private company and goverment.
445,Oxford,Organization,Political Secret,organizations such as private company and goverment.
446,Reading,Organization,Political Secret,organizations such as private company and goverment.
447,Stoke,Organization,Political Secret,organizations such as private company and goverment.
448,Southend,Organization,Political Secret,organizations such as private company and goverment.
449,Lewis,Person,Personal details,name of person
450,Mullally,Person,Personal details,name of person
451,Croft,Person,Personal details,name of person
452,Christie,Person,Personal details,name of person
453,Canada,Location,Personal details,place
454,Bailey,Person,Personal details,name of person
455,Johnson,Person,Personal details,name of person
456,Fredericks,Person,Personal details,name of person
457,Hiddink,Person,Personal details,name of person
458,DannyBlind,Person,Personal details,name of person
459,TonyTaylor,Person,Personal details,name of person
460,Hariri,Person,Personal details,name of person
461,RostselmashRostov,Organization,Political Secret,organizations such as private company and goverment.
462,ArkadiuszBak,Person,Personal details,name of person
463,ArwelJones,Person,Personal details,name of person
464,TristanHoffman,Person,Personal details,name of person
465,Neths,Location,Personal details,place
466,TVM,Organization,Political Secret,organizations such as private company and goverment.
467,BarbaraRittner,Person,Personal details,name of person
468,Germany,Location,Personal details,place
469,KatarinaStudenikova,Person,Personal details,name of person
470,Slovakia,Location,Personal details,place
471,JohanCapiot,Person,Personal details,name of person
472,Belgium,Location,Personal details,place
473,Collstrop,Organization,Political Secret,organizations such as private company and goverment.
474,IFKGothenburg,Organization,Political Secret,organizations such as private company and goverment.
475,Sweden,Location,Personal details,place
476,Ferencvaros,Organization,Political Secret,organizations such as private company and goverment.
477,Hungary,Location,Personal details,place
478,BestProductsCo,Organization,Political Secret,organizations such as private company and goverment.
479,DanielLevy,Person,Personal details,name of person
480,F.W.deKlerk,Person,Personal details,name of person
481,AfricanNationalCongress,Organization,Political Secret,organizations such as private company and goverment.
482,ThaboMbeki,Person,Personal details,name of person
483,JERUSALEM,Location,Personal details,place
484,AjaxAmsterdam,Organization,Political Secret,organizations such as private company and goverment.
485,FrankdeBoer,Person,Personal details,name of person
486,AZAlkmaar,Organization,Political Secret,organizations such as private company and goverment.
487,PaulineKonga,Person,Personal details,name of person
488,Kenya,Location,Personal details,place
489,Oklahoma,Location,Personal details,place
490,AgriculturalStatisticsService,Organization,Political Secret,organizations such as private company and goverment.
491,NEWDELHI,Location,Personal details,place
492,Coetzer,Person,Personal details,name of person
493,Rome,Location,Personal details,place
494,Colombia,Location,Personal details,place
495,Antioquia,Location,Personal details,place
496,Russia,Location,Personal details,place
497,Norway,Location,Personal details,place
498,Rishon-Lezion,Location,Personal details,place
499,HapoelIroni,Organization,Political Secret,organizations such as private company and goverment.
500,Israel,Location,Personal details,place
501,Constructorul,Organization,Political Secret,organizations such as private company and goverment.
502,JeffTarango,Person,Personal details,name of person
503,U.S.,Location,Personal details,place
504,AlexRadulescu,Person,Personal details,name of person
505,Germany,Location,Personal details,place
506,Maakinen,Person,Personal details,name of person
507,Mitsubishi,Organization,Political Secret,organizations such as private company and goverment.
508,Spain,Location,Personal details,place
509,CarlosSainz,Person,Personal details,name of person
510,Ford,Organization,Political Secret,organizations such as private company and goverment.
511,RuchChorzow,Organization,Political Secret,organizations such as private company and goverment.
512,FortunaSittard,Organization,Political Secret,organizations such as private company and goverment.
513,Heerenveen,Organization,Political Secret,organizations such as private company and goverment.
514,YayukBasuki,Person,Personal details,name of person
515,Marriner,Person,Personal details,name of person
516,NATO,Organization,Political Secret,organizations such as private company and goverment.
517,Dhar,Location,Personal details,place
518,Nepal,Location,Personal details,place
519,Keane,Organization,Political Secret,organizations such as private company and goverment.
520,ING,Organization,Political Secret,organizations such as private company and goverment.
521,NEWYORK,Organization,Political Secret,organizations such as private company and goverment.
522,England,Location,Personal details,place
523,Pakistan,Location,Personal details,place
524,The,Location,Personal details,place
525,Gillingham,Organization,Political Secret,organizations such as private company and goverment.
526,Yugoslavia,Location,Personal details,place
527,AMMAN,Location,Personal details,place
528,Valerenga,Organization,Political Secret,organizations such as private company and goverment.
529,interiorministry,Organization,Political Secret,organizations such as private company and goverment.
530,JimFuryk,Person,Personal details,name of person
531,SatoshiHigashi,Person,Personal details,name of person
532,Japan,Location,Personal details,place
533,WillieWood,Person,Personal details,name of person
534,Shigeki,Person,Personal details,name of person
535,LONDON,Location,Personal details,place
536,LONDON,Location,Personal details,place
537,MarcusGronholm,Person,Personal details,name of person
538,Finland,Location,Personal details,place
539,Goldman,Person,Personal details,name of person
540,Stadler,Organization,Political Secret,organizations such as private company and goverment.
541,Haladas,Organization,Political Secret,organizations such as private company and goverment.
542,SaeedAnwar,Person,Personal details,name of person
543,MiladinBecanovic,Person,Personal details,name of person
544,Lille,Organization,Political Secret,organizations such as private company and goverment.
545,EnzoScifo,Person,Personal details,name of person
546,Monaco,Organization,Political Secret,organizations such as private company and goverment.
547,CarlosMoya,Person,Personal details,name of person
548,Spain,Location,Personal details,place
549,ScottHumphries,Person,Personal details,name of person
550,U.S.,Location,Personal details,place
551,Peronists,Organization,Political Secret,organizations such as private company and goverment.
552,HectorCampora,Person,Personal details,name of person
553,VicenteSolanoLima,Person,Personal details,name of person
554,BRAVES,Organization,Political Secret,organizations such as private company and goverment.
555,CUBS,Organization,Political Secret,organizations such as private company and goverment.
556,BartVoskamp,Person,Personal details,name of person
557,Netherlands,Location,Personal details,place
558,TVM,Organization,Political Secret,organizations such as private company and goverment.
559,Rosenborg,Organization,Political Secret,organizations such as private company and goverment.
560,Lillestrom,Organization,Political Secret,organizations such as private company and goverment.
561,Kingston,Organization,Political Secret,organizations such as private company and goverment.
562,Softbank,Organization,Political Secret,organizations such as private company and goverment.
563,CzechRepublic,Location,Personal details,place
564,VaclavHavel,Person,Personal details,name of person
565,Brazil,Location,Personal details,place
566,Philippoussis,Person,Personal details,name of person
567,Sampras,Person,Personal details,name of person
568,Rosset,Person,Personal details,name of person
569,RuiMadeira,Person,Personal details,name of person
570,Portugal,Location,Personal details,place
571,NickyBoje,Person,Personal details,name of person
572,DerekCrookes,Person,Personal details,name of person
573,Pollock,Person,Personal details,name of person
574,Adams,Person,Personal details,name of person
575,Gibbs,Person,Personal details,name of person
576,WesternProvince,Organization,Political Secret,organizations such as private company and goverment.
577,Kallis,Person,Personal details,name of person
578,U.N.,Organization,Political Secret,organizations such as private company and goverment.
579,NEWYORK,Location,Personal details,place
580,VW,Organization,Political Secret,organizations such as private company and goverment.
581,Zenith,Organization,Political Secret,organizations such as private company and goverment.
582,Samsung,Organization,Political Secret,organizations such as private company and goverment.
583,HongKong,Location,Personal details,place
584,PSVEindhoven,Organization,Political Secret,organizations such as private company and goverment.
585,Allen,Person,Personal details,name of person
586,RapidWien,Organization,Political Secret,organizations such as private company and goverment.
587,Cleveland,Organization,Political Secret,organizations such as private company and goverment.
588,DETROIT,Organization,Political Secret,organizations such as private company and goverment.
589,CommodityCreditCorpofUSDA,Organization,Political Secret,organizations such as private company and goverment.
590,CargillInc,Organization,Political Secret,organizations such as private company and goverment.
591,Nicaragua,Location,Personal details,place
592,Penrose,Person,Personal details,name of person
593,EleonoraBerlanda,Person,Personal details,name of person
594,Italy,Location,Personal details,place
595,R.Croft,Person,Personal details,name of person
596,IjazAhmed,Person,Personal details,name of person
597,WasimAkram,Person,Personal details,name of person
598,Corsica,Location,Personal details,place
